benchmark_id,request_id,true_type,true_subtype,pred_type,pred_subtype,attributes,metadata,en_attributes,confidence,pred_subtype_1,pred_subtype_2,missing_subtype,decision_status,decision_mapped_to
4,UNK-ES-E001,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-E001"", ""name"": ""Azulejo valenciano pintado a mano Manises técnica siglo XV"", ""tags"": [""cerámica"", ""valenciana"", ""azulejo"", ""artesanía""], ""brand"": ""Cerámica Manises"", ""price"": 45.0, ""description"": ""Azulejo 20x20cm pintado a mano en Manises siguiendo técnica tradicional del siglo XV, diseño floral valenciano, cocción a 1200ºC""}","{""region"": ""EU"", ""source"": ""Extractor"", ""status"": ""Activo"", ""confidence"": ""67.2""}","{""sku"": ""SKU-ES-E001"", ""name"": ""Hand-painted Manises Valencian tile 15th-century technique"", ""tags"": [""ceramics"", ""Valencian"", ""tile"", ""craftsmanship""], ""brand"": ""Cerámica Manises"", ""price"": 45.0, ""description"": ""20x20cm tile hand-painted in Manises following 15th-century traditional technique, Valencian floral design, fired at 1200°C""}",0.6717,unknown,unknown,,,
4,UNK-ES-E002,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-E002"", ""name"": ""Rioja Gran Reserva DOCa 2016 CVNE 95 Parker"", ""tags"": [""vino"", ""rioja"", ""gran reserva"", ""DOCa""], ""brand"": ""CVNE"", ""price"": 28.5, ""description"": ""Rioja Gran Reserva DOCa 2016, 36 meses en barrica roble americano, envejecimiento botella 24 meses, puntuación 95 Parker, lote numerado""}","{""region"": ""EU"", ""source"": ""Entrada Manual"", ""status"": ""Activo"", ""confidence"": ""72.4""}","{""sku"": ""SKU-ES-E002"", ""name"": ""Rioja Gran Reserva DOCa 2016 CVNE 95 Parker points"", ""tags"": [""wine"", ""rioja"", ""gran reserva"", ""DOCa""], ""brand"": ""CVNE"", ""price"": 28.5, ""description"": ""Rioja Gran Reserva DOCa 2016, 36 months in American oak barrel, 24 months bottle aging, 95 Parker score, numbered batch""}",0.7241,unknown,unknown,,,
4,UNK-ES-E003,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-E003"", ""name"": ""Pendientes plata 925 traje regional andaluz faralaes"", ""tags"": [""joya"", ""tradicional"", ""andaluz"", ""plata""], ""brand"": ""Platería Sevilla"", ""price"": 89.0, ""description"": ""Pendientes plata 925 diseño faralaes, fabricación artesanal sevillana, sello de contraste, complemento traje regional andaluz, estuche incluido""}","{""region"": ""APAC"", ""source"": ""API"", ""status"": ""Activo"", ""confidence"": ""61.3""}","{""sku"": ""SKU-ES-E003"", ""name"": ""925 silver flounce earrings for Andalusian regional dress"", ""tags"": [""jewelry"", ""traditional"", ""Andalusian"", ""silver""], ""brand"": ""Platería Sevilla"", ""price"": 89.0, ""description"": ""925 silver earrings with flounce design, Sevillian artisan manufacture, hallmark stamp, accessory for Andalusian regional dress, case included""}",0.6131,unknown,unknown,,,
4,UNK-ES-E004,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-E004"", ""name"": ""Mantón de Manila seda natural bordado a mano flecos"", ""tags"": [""textil"", ""ibérico"", ""bordado"", ""seda""], ""brand"": ""Casa Rubio"", ""price"": 320.0, ""description"": ""Mantón de Manila en seda natural 100%, bordado a mano con motivos florales orientales, flecos a mano 35cm, certificado artesanía española""}","{""region"": ""LATAM"", ""source"": ""Extractor"", ""status"": ""Activo"", ""confidence"": ""65.8""}","{""sku"": ""SKU-ES-E004"", ""name"": ""100% natural silk Manila shawl hand-embroidered with fringes"", ""tags"": [""textile"", ""Iberian"", ""embroidery"", ""silk""], ""brand"": ""Casa Rubio"", ""price"": 320.0, ""description"": ""100% natural silk Manila shawl, hand-embroidered with oriental floral motifs, 35cm hand-made fringe, certified Spanish craftsmanship""}",0.6584,unknown,unknown,,,
4,UNK-ES-E005,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-E005"", ""name"": ""Cuchillo artesanal forjado a mano maestro cuchillero Albacete"", ""tags"": [""artesanal"", ""cuchillo"", ""albacete"", ""forjado""], ""brand"": ""Cuchillería Muela"", ""price"": 145.0, ""description"": ""Cuchillo forjado a mano por maestro cuchillero de Albacete, acero carbono C75, mango madera olivo, funda cuero artesanal, marcado DOP Albacete""}","{""region"": ""NA"", ""source"": ""Entrada Manual"", ""status"": ""Activo"", ""confidence"": ""62.9""}","{""sku"": ""SKU-ES-E005"", ""name"": ""Albacete DOP artisan knife hand-forged by master cutler"", ""tags"": [""artisan"", ""knife"", ""albacete"", ""forged""], ""brand"": ""Cuchillería Muela"", ""price"": 145.0, ""description"": ""Knife hand-forged by master cutler from Albacete, C75 carbon steel, olive wood handle, artisan leather sheath, DOP Albacete marked""}",0.6291,unknown,unknown,,,
4,UNK-ES-N001,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-N001"", ""name"": ""Casa rural Costa Brava 4 dormitorios alquiler semanal"", ""tags"": [""alquiler"", ""vacacional"", ""turismo"", ""rural""], ""brand"": ""Airbnb"", ""price"": 890.0, ""description"": ""Alquiler semanal casa rural 4 dormitorios Costa Brava, piscina privada, jardín, vistas al mar, servicio limpieza incluido, 8 huéspedes máx""}","{""region"": ""EU"", ""source"": ""API"", ""status"": ""Activo"", ""confidence"": ""83.6""}","{""sku"": ""SKU-ES-N001"", ""name"": ""4-bedroom Costa Brava rural house weekly vacation rental"", ""tags"": [""rental"", ""vacation"", ""tourism"", ""rural""], ""brand"": ""Airbnb"", ""price"": 890.0, ""description"": ""Weekly rental of 4-bedroom rural house in Costa Brava, private pool, garden, sea views, cleaning service included, max 8 guests""}",0.8362,unknown,unknown,,,
4,UNK-ES-N002,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-N002"", ""name"": ""Caja mensual productos gourmet españoles selección expertos"", ""tags"": [""suscripción"", ""caja"", ""gourmet"", ""mensual""], ""brand"": ""Degustabox"", ""price"": 22.99, ""description"": ""Suscripción mensual con 10-15 productos gourmet españoles de temporada seleccionados por expertos gastronómicos, precio por debajo de tienda""}","{""region"": ""EU"", ""source"": ""Raspador"", ""status"": ""Activo"", ""confidence"": ""79.2""}","{""sku"": ""SKU-ES-N002"", ""name"": ""Monthly subscription box of Spanish gourmet products curated by experts"", ""tags"": [""subscription"", ""box"", ""gourmet"", ""monthly""], ""brand"": ""Degustabox"", ""price"": 22.99, ""description"": ""Monthly subscription with 10-15 seasonal Spanish gourmet products selected by gastronomic experts, below-retail price""}",0.7924,unknown,unknown,,,
4,UNK-ES-N003,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-N003"", ""name"": ""Samsung Galaxy S23 reacondicionado Grado A técnicos certificados"", ""tags"": [""reacondicionado"", ""segunda mano"", ""smartphone""], ""brand"": ""Recommerce"", ""price"": 599.0, ""description"": ""Smartphone reacondicionado por técnicos certificados, garantía 24 meses, batería nueva al 100%, datos borrados certificado, embalaje ecológico""}","{""region"": ""APAC"", ""source"": ""Extractor"", ""status"": ""Activo"", ""confidence"": ""76.5""}","{""sku"": ""SKU-ES-N003"", ""name"": ""Grade A refurbished Samsung Galaxy S23 by certified technicians"", ""tags"": [""refurbished"", ""second hand"", ""smartphone""], ""brand"": ""Recommerce"", ""price"": 599.0, ""description"": ""Smartphone refurbished by certified technicians, 24-month warranty, 100% new battery, certified data erasure, eco packaging""}",0.7648,unknown,unknown,,,
4,UNK-ES-N004,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-N004"", ""name"": ""Menú degustación 14 pasos restaurante 3 estrellas Michelin para 2"", ""tags"": [""experiencia"", ""gastronomía"", ""michelin"", ""degustación""], ""brand"": ""DiverXO"", ""price"": 250.0, ""description"": ""Reserva para 2 del menú degustación 14 pasos en restaurante 3 estrellas Michelin, maridaje de vinos incluido, cocina de vanguardia, duración 4h""}","{""region"": ""NA"", ""source"": ""Entrada Manual"", ""status"": ""Activo"", ""confidence"": ""85.1""}","{""sku"": ""SKU-ES-N004"", ""name"": ""14-course tasting menu at 3-Michelin-star restaurant for 2"", ""tags"": [""experience"", ""gastronomy"", ""michelin"", ""tasting""], ""brand"": ""DiverXO"", ""price"": 250.0, ""description"": ""Reservation for 2 of the 14-course tasting menu at a 3-Michelin-star restaurant, wine pairing included, avant-garde cuisine, 4h duration""}",0.8511,unknown,unknown,,,
4,UNK-ES-N005,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-N005"", ""name"": ""Termostato inteligente Tado con IA y geolocalización"", ""tags"": [""dispositivo inteligente"", ""hogar"", ""IA"", ""termostato""], ""brand"": ""Tado"", ""price"": 119.0, ""description"": ""Termostato inteligente con aprendizaje automático que optimiza temperatura según hábitos y geolocalización, ahorro energético 31% certificado, compatible Alexa/Google""}","{""region"": ""MENA"", ""source"": ""API"", ""status"": ""Activo"", ""confidence"": ""74.7""}","{""sku"": ""SKU-ES-N005"", ""name"": ""Tado smart thermostat with AI and geolocation"", ""tags"": [""smart device"", ""home"", ""AI"", ""thermostat""], ""brand"": ""Tado"", ""price"": 119.0, ""description"": ""Smart thermostat with ML optimizing temperature based on habits and geolocation, certified 31% energy saving, Alexa/Google compatible""}",0.7473,unknown,unknown,,,
4,UNK-ES-U001,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-U001"", ""name"": ""Pieza metálica XT-33 sin referencia ni documentación técnica"", ""tags"": [""desconocido"", ""metálico""], ""brand"": ""Genérico"", ""price"": 38.0, ""description"": ""Pieza metálica sin número de referencia ni hoja de especificaciones, posiblemente recambio industrial, aplicación y procedencia no determinadas""}","{""region"": ""APAC"", ""source"": ""Raspador"", ""status"": ""En Revisión"", ""confidence"": ""27.4""}","{""sku"": ""SKU-ES-U001"", ""name"": ""Metal part XT-33 with no reference or technical documentation"", ""tags"": [""unknown"", ""metallic""], ""brand"": ""Generic"", ""price"": 38.0, ""description"": ""Metal part with no reference number or specification sheet, possibly industrial spare part, application and provenance not determined""}",0.2744,unknown,unknown,,,
4,UNK-ES-U002,Unknown,Unknown,Unknown,Unknown,"{""sku"": ""SKU-ES-U002"", ""name"": ""Lote mixto liquidación almacén contenido no inventariado"", ""tags"": [""lote"", ""liquidación"", ""varios""], ""brand"": ""Desconocido"", ""price"": 18.0, ""description"": ""Lote artículos liquidación de almacén, contenido heterogéneo no inventariado, condición variable, sin garantía ni devolución posible""}","{""region"": ""LATAM"", ""source"": ""Extractor"", ""status"": ""Archivado"", ""confidence"": ""20.3""}","{""sku"": ""SKU-ES-U002"", ""name"": ""Mixed warehouse clearance lot with uninventoried content"", ""tags"": [""lot"", ""clearance"", ""miscellaneous""], ""brand"": ""Unknown"", ""price"": 18.0, ""description"": ""Warehouse clearance lot, uninventoried heterogeneous content, variable condition, no warranty or returns possible""}",0.2031,unknown,unknown,,,
